batch,sub_topic_key,difficulty,stem_en,stem_si,stem_ta,explanation_en,explanation_si,explanation_ta,option_a_en,option_a_si,option_a_ta,option_b_en,option_b_si,option_b_ta,option_c_en,option_c_si,option_c_ta,option_d_en,option_d_si,option_d_ta,correct_option,shuffle_options
placeholder-v1,gk-history,easy,In which year did Sri Lanka gain independence from Britain?,,,Independence was granted on 4 February 1948.,,,1948,,,1947,,,1956,,,1972,,,A,true
placeholder-v1,gk-history,easy,Which ancient city was the first capital of Sri Lanka?,,,Anuradhapura served as the first capital for over a thousand years.,,,Polonnaruwa,,,Anuradhapura,,,Kandy,,,Sigiriya,,,B,true
placeholder-v1,gk-history,medium,Who built the rock fortress of Sigiriya?,,,King Kasyapa built Sigiriya in the 5th century.,,,King Dutugemunu,,,King Parakramabahu,,,King Kasyapa,,,King Vijaya,,,C,true
placeholder-v1,gk-history,medium,The Kandyan Convention was signed in which year?,,,The convention of 1815 ceded the Kandyan kingdom to the British.,,,1815,,,1802,,,1833,,,1796,,,A,true
placeholder-v1,gk-history,hard,Which kingdom followed Anuradhapura as the capital?,,,Polonnaruwa became the capital in the 11th century.,,,Kotte,,,Dambadeniya,,,Polonnaruwa,,,Kandy,,,C,true
placeholder-v1,gk-politics,easy,How many members are elected to the Parliament of Sri Lanka?,,,"Parliament has 225 members, including 29 from the national list.",,,196,,,225,,,160,,,250,,,B,true
placeholder-v1,gk-politics,medium,Which constitution first declared Sri Lanka a republic?,,,The 1972 constitution made Ceylon the Republic of Sri Lanka.,,,1947,,,1972,,,1978,,,1988,,,B,true
placeholder-v1,gk-politics,easy,The head of state of Sri Lanka is the:,,,The executive President is head of state and of government.,,,Prime Minister,,,Speaker,,,Chief Justice,,,President,,,D,true
placeholder-v1,gk-politics,medium,How long is the normal term of Parliament?,,,A parliament sits for five years unless dissolved earlier.,,,Four years,,,Five years,,,Six years,,,Seven years,,,B,true
placeholder-v1,gk-politics,hard,Which amendment created the provincial council system?,,,The 13th Amendment of 1987 established provincial councils.,,,13th,,,17th,,,19th,,,20th,,,A,true
placeholder-v1,gk-geography,easy,What is the administrative capital of Sri Lanka?,,,Sri Jayawardenepura Kotte holds the parliament and is the administrative capital.,,,Colombo,,,Kandy,,,Sri Jayawardenepura Kotte,,,Galle,,,C,true
placeholder-v1,gk-geography,easy,Which is the longest river in Sri Lanka?,,,"The Mahaweli runs about 335 km, the longest in the country.",,,Kelani,,,Mahaweli,,,Kalu,,,Walawe,,,B,true
placeholder-v1,gk-geography,medium,Which is the highest mountain in Sri Lanka?,,,"Pidurutalagala rises to 2,524 m.",,,Adam's Peak,,,Kirigalpoththa,,,Pidurutalagala,,,Namunukula,,,C,true
placeholder-v1,gk-geography,easy,How many provinces does Sri Lanka have?,,,The country is divided into nine provinces.,,,Seven,,,Eight,,,Nine,,,Twelve,,,C,true
placeholder-v1,gk-geography,easy,The Palk Strait separates Sri Lanka from which country?,,,The Palk Strait lies between Sri Lanka and India.,,,Maldives,,,India,,,Indonesia,,,Bangladesh,,,B,true
placeholder-v1,gk-economy,easy,Which crop is Sri Lanka's best known export?,,,Ceylon tea remains the country's most recognised export.,,,Rubber,,,Tea,,,Coconut,,,Cinnamon,,,B,true
placeholder-v1,gk-economy,easy,What is the currency of Sri Lanka?,,,The Sri Lankan rupee is the national currency.,,,Rupee,,,Taka,,,Ringgit,,,Rupiah,,,A,true
placeholder-v1,gk-economy,medium,Which institution issues currency in Sri Lanka?,,,The Central Bank of Sri Lanka is the sole issuing authority.,,,Treasury,,,Bank of Ceylon,,,Central Bank of Sri Lanka,,,Ministry of Finance,,,C,true
placeholder-v1,gk-economy,medium,Which port handles the largest share of the country's container traffic?,,,The Port of Colombo handles most container throughput.,,,Galle,,,Trincomalee,,,Hambantota,,,Colombo,,,D,true
placeholder-v1,gk-economy,hard,Sri Lanka's largest source of foreign exchange from services is:,,,Tourism is the leading services earner alongside remittances.,,,Fisheries,,,Tourism,,,Gem mining,,,Forestry,,,B,true
placeholder-v1,gk-science,easy,What is the chemical symbol for water?,,,Water is two hydrogen atoms bonded to one oxygen atom.,,,WO,,,H2O,,,HO2,,,OH,,,B,true
placeholder-v1,gk-science,easy,Which planet is closest to the Sun?,,,Mercury orbits nearest the Sun.,,,Venus,,,Earth,,,Mercury,,,Mars,,,C,true
placeholder-v1,gk-science,easy,Which gas do plants absorb during photosynthesis?,,,Plants take in carbon dioxide and release oxygen.,,,Oxygen,,,Nitrogen,,,Hydrogen,,,Carbon dioxide,,,D,true
placeholder-v1,gk-science,medium,What does CPU stand for?,,,The CPU is the central processing unit of a computer.,,,Central Processing Unit,,,Computer Power Unit,,,Central Program Utility,,,Control Processing Unit,,,A,true
