batch,sub_topic_key,difficulty,stem_en,stem_si,stem_ta,explanation_en,explanation_si,explanation_ta,option_a_en,option_a_si,option_a_ta,option_b_en,option_b_si,option_b_ta,option_c_en,option_c_si,option_c_ta,option_d_en,option_d_si,option_d_ta,correct_option,shuffle_options
fake-v1,gk_sri_lankan_history,easy,In which year did Sri Lanka gain independence from Britain?,[SI] In which year did Sri Lanka gain independence from Britain?,[TA] In which year did Sri Lanka gain independence from Britain?,Independence was granted on 4 February 1948.,[SI] Independence was granted on 4 February 1948.,[TA] Independence was granted on 4 February 1948.,1948,[SI] 1948,[TA] 1948,1947,[SI] 1947,[TA] 1947,1956,[SI] 1956,[TA] 1956,1972,[SI] 1972,[TA] 1972,A,true
fake-v1,gk_sri_lankan_history,easy,Which ancient city was the first capital of Sri Lanka?,[SI] Which ancient city was the first capital of Sri Lanka?,[TA] Which ancient city was the first capital of Sri Lanka?,Anuradhapura served as the first capital for over a thousand years.,[SI] Anuradhapura served as the first capital for over a thousand years.,[TA] Anuradhapura served as the first capital for over a thousand years.,Polonnaruwa,[SI] Polonnaruwa,[TA] Polonnaruwa,Anuradhapura,[SI] Anuradhapura,[TA] Anuradhapura,Kandy,[SI] Kandy,[TA] Kandy,Sigiriya,[SI] Sigiriya,[TA] Sigiriya,B,true
fake-v1,gk_sri_lankan_history,medium,Who built the rock fortress of Sigiriya?,[SI] Who built the rock fortress of Sigiriya?,[TA] Who built the rock fortress of Sigiriya?,King Kasyapa built Sigiriya in the 5th century.,[SI] King Kasyapa built Sigiriya in the 5th century.,[TA] King Kasyapa built Sigiriya in the 5th century.,King Dutugemunu,[SI] King Dutugemunu,[TA] King Dutugemunu,King Parakramabahu,[SI] King Parakramabahu,[TA] King Parakramabahu,King Kasyapa,[SI] King Kasyapa,[TA] King Kasyapa,King Vijaya,[SI] King Vijaya,[TA] King Vijaya,C,true
fake-v1,gk_sri_lankan_history,medium,The Kandyan Convention was signed in which year?,[SI] The Kandyan Convention was signed in which year?,[TA] The Kandyan Convention was signed in which year?,The convention of 1815 ceded the Kandyan kingdom to the British.,[SI] The convention of 1815 ceded the Kandyan kingdom to the British.,[TA] The convention of 1815 ceded the Kandyan kingdom to the British.,1815,[SI] 1815,[TA] 1815,1802,[SI] 1802,[TA] 1802,1833,[SI] 1833,[TA] 1833,1796,[SI] 1796,[TA] 1796,A,true
fake-v1,gk_sri_lankan_history,hard,Which kingdom followed Anuradhapura as the capital?,[SI] Which kingdom followed Anuradhapura as the capital?,[TA] Which kingdom followed Anuradhapura as the capital?,Polonnaruwa became the capital in the 11th century.,[SI] Polonnaruwa became the capital in the 11th century.,[TA] Polonnaruwa became the capital in the 11th century.,Kotte,[SI] Kotte,[TA] Kotte,Dambadeniya,[SI] Dambadeniya,[TA] Dambadeniya,Polonnaruwa,[SI] Polonnaruwa,[TA] Polonnaruwa,Kandy,[SI] Kandy,[TA] Kandy,C,true
fake-v1,gk_politics_constitution,easy,How many members are elected to the Parliament of Sri Lanka?,[SI] How many members are elected to the Parliament of Sri Lanka?,[TA] How many members are elected to the Parliament of Sri Lanka?,"Parliament has 225 members, including 29 from the national list.","[SI] Parliament has 225 members, including 29 from the national list.","[TA] Parliament has 225 members, including 29 from the national list.",196,[SI] 196,[TA] 196,225,[SI] 225,[TA] 225,160,[SI] 160,[TA] 160,250,[SI] 250,[TA] 250,B,true
fake-v1,gk_politics_constitution,medium,Which constitution first declared Sri Lanka a republic?,[SI] Which constitution first declared Sri Lanka a republic?,[TA] Which constitution first declared Sri Lanka a republic?,The 1972 constitution made Ceylon the Republic of Sri Lanka.,[SI] The 1972 constitution made Ceylon the Republic of Sri Lanka.,[TA] The 1972 constitution made Ceylon the Republic of Sri Lanka.,1947,[SI] 1947,[TA] 1947,1972,[SI] 1972,[TA] 1972,1978,[SI] 1978,[TA] 1978,1988,[SI] 1988,[TA] 1988,B,true
fake-v1,gk_politics_constitution,easy,The head of state of Sri Lanka is the:,[SI] The head of state of Sri Lanka is the:,[TA] The head of state of Sri Lanka is the:,The executive President is head of state and of government.,[SI] The executive President is head of state and of government.,[TA] The executive President is head of state and of government.,Prime Minister,[SI] Prime Minister,[TA] Prime Minister,Speaker,[SI] Speaker,[TA] Speaker,Chief Justice,[SI] Chief Justice,[TA] Chief Justice,President,[SI] President,[TA] President,D,true
fake-v1,gk_politics_constitution,medium,How long is the normal term of Parliament?,[SI] How long is the normal term of Parliament?,[TA] How long is the normal term of Parliament?,A parliament sits for five years unless dissolved earlier.,[SI] A parliament sits for five years unless dissolved earlier.,[TA] A parliament sits for five years unless dissolved earlier.,Four years,[SI] Four years,[TA] Four years,Five years,[SI] Five years,[TA] Five years,Six years,[SI] Six years,[TA] Six years,Seven years,[SI] Seven years,[TA] Seven years,B,true
fake-v1,gk_politics_constitution,hard,Which amendment created the provincial council system?,[SI] Which amendment created the provincial council system?,[TA] Which amendment created the provincial council system?,The 13th Amendment of 1987 established provincial councils.,[SI] The 13th Amendment of 1987 established provincial councils.,[TA] The 13th Amendment of 1987 established provincial councils.,13th,[SI] 13th,[TA] 13th,17th,[SI] 17th,[TA] 17th,19th,[SI] 19th,[TA] 19th,20th,[SI] 20th,[TA] 20th,A,true
